Features,Full name,Lower limit,Upper limit,mean,std,GWP factor
PC,Portland cement,164.0,850.0,469.30026455026456,144.1665558113235,1.048
FA,Fly ash,0.0,273.0,76.94047619047619,82.10858842583345,0.328
SC,Slag cement,0.0,560.0,121.58862433862434,138.83133347768097,0.264
SF,Silica fume,0.0,68.0,2.4126984126984126,9.878549783318695,0.85
CAGG,Coarse aggregate,675.0,2300.0,1725.899470899471,252.55384937505244,0.0037
FAGG,Fine aggregate,798.0,1800.0,1238.7314814814815,156.74452361438452,0.0026
WATER,Water,153.0,362.0,260.0674603174603,26.303918060424923,0
AEA,Air-entraining agent,0.0,40.0,5.9374338624338625,5.100361060027026,0
WR,Water reducer,0.0,211.0,37.240343915343914,33.69759162716185,0
WR_HR,High-range water reducer,0.0,127.0,10.239814814814814,17.67903354967193,0
ACC,Accelerator,0.0,768.0,56.34391534391534,143.8117081234752,0
w/b,w/b,0.23529411764705882,0.7142857142857143,0.39243082256948647,0.05352867164409147,/
b/a,b/a,0.10510510510510511,0.4880694143167028,0.2280769940563272,0.038561561639129105,/
SCM%,SCM%,0.0,0.7647058823529411,0.30156350937174675,0.18548401849404286,/
CAGG%,CAGG%,0.3146853146853147,0.7213930348258707,0.5797721937003079,0.06628756509380351,/
FAGG%,FAGG%,0.27860696517412936,0.6853146853146853,0.4202278062996922,0.0662875650938035,/
PC%,PC%,0.23529411764705882,1.0,0.6984364906282533,0.18548401849404292,/
FA%,FA%,0.0,0.375,0.11494867660401016,0.12250397607128384,/
SC%,SC%,0.0,0.717391304347826,0.18329050483054798,0.20409309969535408,/
SF%,SF%,0.0,0.08,0.0033243279371886285,0.01360574730920176,/
